date,nav,cash
2022-01-04,1000000.0,1000000.0
2022-01-05,1005241.5446220852,299.99999999973807
2022-01-06,1004780.919380436,299.99999999973807
2022-01-07,1019995.6621150859,299.99999999973807
2022-01-10,1022796.7493316939,299.99999999973807
2022-01-11,1021027.043211804,299.99999999973807
2022-01-12,1017084.3672696982,299.99999999973807
2022-01-13,1012839.1753176481,299.99999999973807
2022-01-14,996252.6302653181,299.99999999973807
2022-01-17,995334.5506030209,299.99999999973807
2022-01-18,1007002.2456957733,299.99999999973807
2022-01-19,921323.9361418857,299.99999999973807
2022-01-20,925617.9191266808,299.99999999973807
2022-01-21,918753.6278874538,299.99999999973807
2022-01-24,916096.8492482076,299.99999999973807
2022-01-25,902797.0097217816,299.99999999973807
2022-01-26,904761.961582559,299.99999999973807
2022-01-27,982759.5658925925,299.99999999973807
2022-01-28,980349.4364229161,299.99999999973807
2022-02-07,1002280.0137047054,299.99999999973807
2022-02-08,1016103.0926967923,300.2932319061074
2022-02-09,1018997.7726242631,300.2932319061074
2022-02-10,1027590.6358295017,300.2932319061074
2022-02-11,1023959.8096525405,300.2932319061074
2022-02-14,1009006.7542423723,300.2932319061074
2022-02-15,1002228.7483312098,300.2932319061074
2022-02-16,1009559.7302164148,300.2932319061074
2022-02-17,1004307.1258855846,300.2932319061074
2022-02-18,1014960.4940355642,300.2932319061074
2022-02-21,1010457.6835899588,300.2932319061074
2022-02-22,1001548.4968748525,300.2932319061074
2022-02-23,998417.0448807032,300.2932319061074
2022-02-24,983384.3619209941,300.2932319061074
2022-02-25,987191.5028152307,300.2932319061074
2022-02-28,985337.7386718737,300.2932319061074
2022-03-01,990453.9824276459,300.2932319061074
2022-03-02,987028.1030249812,296.75003478920553
2022-03-03,1000692.5299089508,296.75003478920553
2022-03-04,989204.2043256118,296.75003478920553
2022-03-07,959640.3396847975,296.75003478920553
2022-03-08,940609.1681952281,296.75003478920553
2022-03-09,931148.6278986752,296.75003478920553
2022-03-10,936172.0293140359,296.75003478920553
2022-03-11,943887.5952920135,296.75003478920553
2022-03-14,922078.1608740301,296.75003478920553
2022-03-15,890265.7684501068,296.75003478920553
2022-03-16,922072.6711114502,296.75003478920553
2022-03-17,931673.8291010386,296.75003478920553
2022-03-18,940682.4018153874,296.75003478920553
2022-03-21,933051.9548092698,296.75003478920553
2022-03-22,935942.0388662281,296.75003478920553
2022-03-23,932305.4076617551,296.75003478920553
2022-03-24,928190.8207683057,296.75003478920553
2022-03-25,918469.6291005517,296.75003478920553
2022-03-28,924053.9645252621,296.75003478920553
2022-03-29,919237.43961046,296.75003478920553
2022-03-30,932927.2506219302,296.75003478920553
2022-03-31,929198.1288679341,296.75003478920553
2022-04-01,945664.9157032407,296.75003478920553
2022-04-06,956708.5575470406,283.3307811265113
2022-04-07,949250.9828856091,283.3307811265113
2022-04-08,877071.6603562371,283.3307811265113
2022-04-11,940862.9431205497,283.3307811265113
2022-04-12,959494.5941007091,283.3307811265113
2022-04-13,949981.8629058492,283.3307811265113
2022-04-14,960012.9739914532,283.3307811265113
2022-04-15,960173.8178348888,283.3307811265113
2022-04-18,949515.5939576672,283.3307811265113
2022-04-19,948739.5943583067,283.3307811265113
2022-04-20,941876.28437954,283.3307811265113
2022-04-21,926518.0657563051,283.3307811265113
2022-04-22,931730.6400929356,283.3307811265113
2022-04-25,896681.6162852485,283.3307811265113
2022-04-26,883688.6618510755,283.3307811265113
2022-04-27,898795.2131769693,283.3307811265113
2022-04-28,895304.7962503975,283.3307811265113
2022-04-29,911998.9452312898,283.3307811265113
2022-05-05,914977.607622708,283.3307811265113
2022-05-06,890677.3078041804,274.13655151889543
2022-05-09,887153.7210974665,274.13655151889543
2022-05-10,890570.0362201898,274.13655151889543
2022-05-11,894891.0905155538,274.13655151889543
2022-05-12,888250.6573345123,274.13655151889543
2022-05-13,896252.1441608217,274.13655151889543
2022-05-16,898588.4595156665,274.13655151889543
2022-05-17,900902.1544803766,274.13655151889543
2022-05-18,896849.7526770454,274.13655151889543
2022-05-19,894228.1844330827,274.13655151889543
2022-05-20,906385.6371907005,274.13655151889543
2022-05-23,912141.7486856879,274.13655151889543
2022-05-24,900706.8748074342,274.13655151889543
2022-05-25,911407.0184699763,274.13655151889543
2022-05-26,919882.806027888,274.13655151889543
2022-05-27,919660.9746434941,274.13655151889543
2022-05-30,919524.7491561587,274.13655151889543
2022-05-31,923716.819082204,274.13655151889543
2022-06-01,920813.7599314195,274.13655151889543
2022-06-02,920753.1981789436,275.8851175264863
2022-06-06,926510.4755687459,275.8851175264863
2022-06-07,926534.3374839782,275.8851175264863
2022-06-08,931696.2414218324,275.8851175264863
2022-06-09,929875.3634667607,275.8851175264863
2022-06-10,932171.3303398615,275.8851175264863
2022-06-13,924917.7442935517,275.8851175264863
2022-06-14,936461.1683647574,275.8851175264863
2022-06-15,941109.8369268528,275.8851175264863
2022-06-16,932845.4267421982,275.8851175264863
2022-06-17,934304.4052772647,275.8851175264863
2022-06-20,939185.6090079102,275.8851175264863
2022-06-21,944487.357427522,275.8851175264863
2022-06-22,945789.781950378,275.8851175264863
2022-06-23,953156.1347058293,275.8851175264863
2022-06-24,961433.0944829755,275.8851175264863
2022-06-27,969382.8409034435,275.8851175264863
2022-06-28,975964.7250539481,275.8851175264863
2022-06-29,965963.3533431555,275.8851175264863
2022-06-30,971969.1073057028,275.8851175264863
2022-07-01,972156.9820232223,275.8851175264863
2022-07-04,965335.4406713903,291.268060979055
2022-07-05,966032.6758357183,291.268060979055
2022-07-06,951051.9315785326,291.268060979055
2022-07-07,950037.9267174435,291.268060979055
2022-07-08,951159.1249909191,291.268060979055
2022-07-11,942293.8366810482,291.268060979055
2022-07-12,943894.3859224321,291.268060979055
2022-07-13,947616.6489056799,291.268060979055
2022-07-14,944246.1311439148,291.268060979055
2022-07-15,925830.1595946382,291.268060979055
2022-07-18,936496.5489896361,291.268060979055
2022-07-19,934550.8433761309,291.268060979055
2022-07-20,934442.8685466234,291.268060979055
2022-07-21,927915.2028589537,291.268060979055
2022-07-22,930369.0284129456,291.268060979055
2022-07-25,926856.9683071349,291.268060979055
2022-07-26,933571.6562044022,291.268060979055
2022-07-27,933333.6805254578,291.268060979055
2022-07-28,933244.9462919249,291.268060979055
2022-07-29,924434.6051879262,291.268060979055
2022-08-01,923876.9658203061,291.268060979055
2022-08-02,911465.473865343,276.8028913238377
2022-08-03,904901.0591586673,276.8028913238377
2022-08-04,909890.6722913907,276.8028913238377
2022-08-05,915773.1310679934,276.8028913238377
2022-08-08,916386.5499135262,276.8028913238377
2022-08-09,917352.5299609847,276.8028913238377
2022-08-10,912056.4486800027,276.8028913238377
2022-08-11,923948.3427939388,276.8028913238377
2022-08-12,928824.8164256389,276.8028913238377
2022-08-15,924812.2368685136,276.8028913238377
2022-08-16,922832.14212185,276.8028913238377
2022-08-17,927871.2536132226,276.8028913238377
2022-08-18,919351.1008982364,276.8028913238377
2022-08-19,919518.7623624516,276.8028913238377
2022-08-22,922296.1222074558,276.8028913238377
2022-08-23,919221.5217006552,276.8028913238377
2022-08-24,911394.6993886945,276.8028913238377
2022-08-25,921299.0532869757,276.8028913238377
2022-08-26,921005.869767632,276.8028913238377
2022-08-29,919877.0148936124,276.8028913238377
2022-08-30,918155.4054645683,276.8028913238377
2022-08-31,918705.5682774669,276.8028913238377
2022-09-01,911002.4250208396,276.8028913238377
2022-09-02,908854.2912986178,272.94554451384465
2022-09-05,914168.0530887743,272.94554451384465
2022-09-06,923591.3471705739,272.94554451384465
2022-09-07,922061.44322579,272.94554451384465
2022-09-08,927011.330648924,272.94554451384465
2022-09-09,935166.697591384,272.94554451384465
2022-09-13,935671.8491791426,272.94554451384465
2022-09-14,929375.6668149539,272.94554451384465
2022-09-15,930946.4514332948,272.94554451384465
2022-09-16,912347.6480424656,272.94554451384465
2022-09-19,912178.2414604911,272.94554451384465
2022-09-20,911954.6380014921,272.94554451384465
2022-09-21,916311.365331538,272.94554451384465
2022-09-22,912131.1162412718,272.94554451384465
2022-09-23,912819.0474314385,272.94554451384465
2022-09-26,903224.5639576359,272.94554451384465
2022-09-27,915008.3426870961,272.94554451384465
2022-09-28,906562.3267706104,272.94554451384465
2022-09-29,899192.9936763142,272.94554451384465
2022-09-30,897056.6873096795,272.94554451384465
2022-10-10,895297.666712229,272.94554451384465
2022-10-11,892264.4943704549,268.24024037260097
2022-10-12,897435.7584604174,268.24024037260097
2022-10-13,896201.7386782018,268.24024037260097
2022-10-14,900677.0808638975,268.24024037260097
2022-10-17,907879.7891513084,268.24024037260097
2022-10-18,903933.348434322,268.24024037260097
2022-10-19,899246.3502791182,268.24024037260097
2022-10-20,900058.5267437852,268.24024037260097
2022-10-21,904168.1157691556,268.24024037260097
2022-10-24,884804.5105621375,268.24024037260097
2022-10-25,888016.2233080872,268.24024037260097
2022-10-26,894856.8365405007,268.24024037260097
2022-10-27,894730.9961491701,268.24024037260097
2022-10-28,883327.1208727729,268.24024037260097
2022-10-31,868119.2220506775,268.24024037260097
2022-11-01,893485.3382709114,268.24024037260097
2022-11-02,899855.1232480906,267.6972468128952
2022-11-03,894664.1726082979,267.6972468128952
2022-11-04,909748.1241257004,267.6972468128952
2022-11-07,912429.744700199,267.6972468128952
2022-11-08,911883.404564622,267.6972468128952
2022-11-09,911296.5491000641,267.6972468128952
2022-11-10,919522.6195667469,267.6972468128952
2022-11-11,925544.5814027288,267.6972468128952
2022-11-14,914774.0370184348,267.6972468128952
2022-11-15,922281.4170290383,267.6972468128952
2022-11-16,916651.583809749,267.6972468128952
2022-11-17,915571.5075656492,267.6972468128952
2022-11-18,910578.4601961427,267.6972468128952
2022-11-21,902766.604086833,267.6972468128952
2022-11-22,910790.207677421,267.6972468128952
2022-11-23,914192.1310016296,267.6972468128952
2022-11-24,911046.9504801035,267.6972468128952
2022-11-25,919809.8288715689,267.6972468128952
2022-11-28,915621.8641474628,267.6972468128952
2022-11-29,935588.5524173181,267.6972468128952
2022-11-30,936303.0174661478,267.6972468128952
2022-12-01,933763.0607405424,267.6972468128952
2022-12-02,928341.7278233839,279.7648550302547
2022-12-05,949316.885524723,279.7648550302547
2022-12-06,951356.7651713862,279.7648550302547
2022-12-07,948261.2864804144,279.7648550302547
2022-12-08,948502.1523680105,279.7648550302547
2022-12-09,952885.9779367861,279.7648550302547
2022-12-12,948221.578260256,279.7648550302547
2022-12-13,953063.2542292392,279.7648550302547
2022-12-14,955074.7506398816,279.7648550302547
2022-12-15,946213.6073301585,279.7648550302547
2022-12-16,953298.5146893418,279.7648550302547
2022-12-19,940277.1423723508,279.7648550302547
2022-12-20,929860.7350051564,279.7648550302547
2022-12-21,933697.8540958316,279.7648550302547
2022-12-22,933882.37369854,279.7648550302547
2022-12-23,933382.871788915,279.7648550302547
2022-12-26,932751.6847044363,279.7648550302547
2022-12-27,940411.9089049639,279.7648550302547
2022-12-28,935024.5235734207,279.7648550302547
2022-12-29,928746.5585352693,279.7648550302547
2022-12-30,932963.3912068165,279.7648550302547
2023-01-03,930676.042773457,279.7648550302547
2023-01-04,937334.1505070704,278.839958283701
2023-01-05,944000.60279736,278.839958283701
2023-01-06,940231.1962744425,278.839958283701
2023-01-09,947700.8521105312,278.839958283701
2023-01-10,941663.5467829993,278.839958283701
2023-01-11,938113.3172301374,278.839958283701
2023-01-12,938711.4789213798,278.839958283701
2023-01-13,946558.3782392559,278.839958283701
2023-01-16,956877.5122557806,278.839958283701
2023-01-17,957037.4186060432,278.839958283701
2023-01-18,956501.2769852007,278.839958283701
2023-01-19,956478.3295987381,278.839958283701
2023-01-20,963895.5942374606,278.839958283701
2023-01-30,960932.5821523885,278.839958283701
2023-01-31,957857.2326855576,278.839958283701
2023-02-01,961556.3697531561,278.839958283701
2023-02-02,956498.3117722454,288.09201268912875
2023-02-03,949756.588831737,288.09201268912875
2023-02-06,944416.8470233121,288.09201268912875
2023-02-07,945001.0215461057,288.09201268912875
2023-02-08,944408.0769712573,288.09201268912875
2023-02-09,948062.2082198904,288.09201268912875
2023-02-10,945802.1600867724,288.09201268912875
2023-02-13,959954.2826159501,288.09201268912875
2023-02-14,963469.0162893988,288.09201268912875
2023-02-15,959074.381945491,288.09201268912875
2023-02-16,953249.2102954892,288.09201268912875
2023-02-17,950079.5694852151,288.09201268912875
2023-02-20,970107.5199946671,288.09201268912875
2023-02-21,972906.5363655444,288.09201268912875
2023-02-22,969160.6502094336,288.09201268912875
2023-02-23,966962.1622897414,288.09201268912875
2023-02-24,961274.7066958832,288.09201268912875
2023-02-27,963383.5917887883,288.09201268912875
2023-02-28,965425.7642555371,288.09201268912875
2023-03-01,972432.9688865598,288.09201268912875
2023-03-02,974345.7658389756,291.35075416378095
2023-03-03,981325.8512407504,291.35075416378095
2023-03-06,974413.3260290888,291.35075416378095
2023-03-07,970676.8887852569,291.35075416378095
2023-03-08,971454.6315967954,291.35075416378095
2023-03-09,966915.2386336566,291.35075416378095
2023-03-10,956269.6231643328,291.35075416378095
2023-03-13,964766.7937382661,291.35075416378095
2023-03-14,958846.3544014946,291.35075416378095
2023-03-15,963998.7733324723,291.35075416378095
2023-03-16,956908.4029850585,291.35075416378095
2023-03-17,962566.3788703204,291.35075416378095
2023-03-20,956599.3371709955,291.35075416378095
2023-03-21,957907.1539411638,291.35075416378095
2023-03-22,960773.3473871376,291.35075416378095
2023-03-23,961934.1365242396,291.35075416378095
2023-03-24,954061.0392377108,291.35075416378095
2023-03-27,949719.8382342218,291.35075416378095
2023-03-28,950442.7524650742,291.35075416378095
2023-03-29,949641.298087762,291.35075416378095
2023-03-30,960569.1094319974,291.35075416378095
2023-03-31,958486.7471655075,291.35075416378095
2023-04-03,966545.6940786919,291.35075416378095
2023-04-04,971727.2596183819,289.5868690296775
2023-04-06,968937.7839312584,289.5868690296775
2023-04-07,969018.9687819317,289.5868690296775
2023-04-10,966335.94212129,289.5868690296775
2023-04-11,970127.7447885684,289.5868690296775
2023-04-12,974692.2324406385,289.5868690296775
2023-04-13,970387.3275363983,289.5868690296775
2023-04-14,969698.7626954681,289.5868690296775
2023-04-17,984725.7147928057,289.5868690296775
2023-04-18,984862.6511875404,289.5868690296775
2023-04-19,982153.3770224971,289.5868690296775
2023-04-20,981955.2438308214,289.5868690296775
2023-04-21,969372.3791250004,289.5868690296775
2023-04-24,960353.5277663803,289.5868690296775
2023-04-25,962706.0947604984,289.5868690296775
2023-04-26,960968.0164198595,289.5868690296775
2023-04-27,964973.7509223958,289.5868690296775
2023-04-28,972349.5889697858,289.5868690296775
2023-05-04,975089.2413084528,289.5868690296775
2023-05-05,977336.7560579,292.14660052748513
2023-05-08,993627.4103828487,292.14660052748513
